"CoordinateOperationCode","CRSCode","DatumCode","DatumName","EllipsoidCode","EllipsoidName","dx","dy","dz","InverseFlattening","SemimajorAxisInM","OperationAccuracyInM"
crs_1092,4265,6265,"Monte Mario","7022","International 1924","-225.06","-67.37","14.61","297","6378388","10"
crs_1093,4265,6265,"Monte Mario","7022","International 1924","-229.08","-65.73","20.21","297","6378388","10"
crs_1094,4265,6265,"Monte Mario","7022","International 1924","-230.47","-56.08","22.43","297","6378388","10"
crs_1099,4670,6670,"Istituto Geografico Militaire 1995","7030","WGS 84","0","0","0","298.257223563","6378137","1"
crs_1100,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-166","-15","204","293.465","6378249.145","9"
crs_1101,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-118","-14","218","293.465","6378249.145","44"
crs_1102,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-134","-2","210","293.465","6378249.145","44"
crs_1103,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-165","-11","206","293.465","6378249.145","6"
crs_1104,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-123","-20","220","293.465","6378249.145","44"
crs_1105,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-128","-18","224","293.465","6378249.145","44"
crs_1106,4201,6201,"Adindan","7012","Clarke 1880 (RGS)","-161","-14","205","293.465","6378249.145","7"
crs_1107,4205,6205,"Afgooye","7024","Krassowsky 1940","-43","-163","45","298.3","6378245","44"
crs_1108,4202,6202,"Australian Geodetic Datum 1966","7003","Australian National Spheroid","-133","-48","148","298.25","6378160","6"
crs_1109,4203,6203,"Australian Geodetic Datum 1984","7003","Australian National Spheroid","-134","-48","149","298.25","6378160","4"
crs_1110,4204,6204,"Ain el Abd 1970","7022","International 1924","-150","-250","-1","297","6378388","44"
crs_1111,4204,6204,"Ain el Abd 1970","7022","International 1924","-143","-236","7","297","6378388","18"
crs_1113,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-143","-90","-294","293.4663077","6378249.145","44"
crs_1114,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-138","-105","-289","293.4663077","6378249.145","7"
crs_1116,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-125","-108","-295","293.4663077","6378249.145","10"
crs_1117,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-161","-73","-317","293.4663077","6378249.145","27"
crs_1118,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-134","-105","-295","293.4663077","6378249.145","26"
crs_1120,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-147","-74","-283","293.4663077","6378249.145","41"
crs_1121,4209,6209,"Arc 1950","7013","Clarke 1880 (Arc)","-142","-96","-293","293.4663077","6378249.145","15"
crs_1122,4210,6210,"Arc 1960","7012","Clarke 1880 (RGS)","-160","-6","-302","293.465","6378249.145","35"
crs_1124,4216,6216,"Bermuda 1957","7008","Clarke 1866","-73","213","296","294.978698213898","6378206.4","35"
crs_1125,4218,6218,"Bogota 1975","7022","International 1924","307","304","-318","297","6378388","10"
crs_1126,4219,6219,"Bukit Rimpah","7004","Bessel 1841","-384","664","-48","299.1528128","6377397.155","999"
crs_1127,4221,6221,"Campo Inchauspe","7022","International 1924","-148","136","90","297","6378388","9"
crs_1128,4222,6222,"Cape","7013","Clarke 1880 (Arc)","-136","-108","-292","293.4663077","6378249.145","9"
crs_1129,4222,6222,"Cape","7013","Clarke 1880 (Arc)","-134.73","-110.92","-292.66","293.4663077","6378249.145","15"
crs_1130,4223,6223,"Carthage","7011","Clarke 1880 (IGN)","-263","6","431","293.466021293627","6378249.2","14"
crs_1131,4224,6224,"Chua","7022","International 1924","-134","229","-29","297","6378388","12"
crs_1132,4225,6225,"Corrego Alegre 1970-72","7022","International 1924","-206","172","-6","297","6378388","8"
crs_1133,4230,6230,"European Datum 1950","7022","International 1924","-87","-98","-121","297","6378388","10"
crs_1134,4230,6230,"European Datum 1950","7022","International 1924","-87","-96","-120","297","6378388","6"
crs_1135,4230,6230,"European Datum 1950","7022","International 1924","-103","-106","-141","297","6378388","999"
crs_1136,4230,6230,"European Datum 1950","7022","International 1924","-104","-101","-140","297","6378388","26"
crs_1137,4230,6230,"European Datum 1950","7022","International 1924","-130","-117","-151","297","6378388","13"
crs_1138,4230,6230,"European Datum 1950","7022","International 1924","-86","-96","-120","297","6378388","6"
crs_1139,4230,6230,"European Datum 1950","7022","International 1924","-87","-95","-120","297","6378388","7"
crs_1140,4230,6230,"European Datum 1950","7022","International 1924","-84","-95","-130","297","6378388","44"
crs_1141,4154,6154,"European Datum 1950(1977)","7022","International 1924","-117","-132","-164","297","6378388","19"
crs_1142,4230,6230,"European Datum 1950","7022","International 1924","-97","-103","-120","297","6378388","44"
crs_1143,4230,6230,"European Datum 1950","7022","International 1924","-97","-88","-135","297","6378388","35"
crs_1144,4230,6230,"European Datum 1950","7022","International 1924","-107","-88","-149","297","6378388","44"
crs_1145,4230,6230,"European Datum 1950","7022","International 1924","-84","-107","-120","297","6378388","9"
crs_1148,4229,6229,"Egypt 1907","7020","Helmert 1906","-130","110","-13","298.3","6378200","11"
crs_1149,4258,6258,"European Terrestrial Reference System 1989","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1150,4283,6283,"Geocentric Datum of Australia 1994","7019","GRS 1980","0","0","0","298.257222101","6378137","3"
crs_1151,4272,6272,"New Zealand Geodetic Datum 1949","7022","International 1924","84","-22","209","297","6378388","8"
crs_1152,4236,6236,"Hu Tzu Shan 1950","7022","International 1924","-637","-549","-203","297","6378388","26"
crs_1153,4239,6239,"Indian 1954","7015","Everest 1830 (1937 Adjustment)","217","823","299","300.8017","6377276.345","21"
crs_1154,4240,6240,"Indian 1975","7015","Everest 1830 (1937 Adjustment)","209","818","290","300.8017","6377276.345","5"
crs_1155,4144,6144,"Kalianpur 1937","7015","Everest 1830 (1937 Adjustment)","282","726","254","300.8017","6377276.345","18"
crs_1156,4146,6146,"Kalianpur 1975","7045","Everest 1830 (1975 Definition)","295","736","257","300.8017255","6377299.151","22"
crs_1157,4244,6244,"Kandawala","7015","Everest 1830 (1937 Adjustment)","-97","787","86","300.8017","6377276.345","35"
crs_1158,4245,6245,"Kertau 1968","7018","Everest 1830 Modified","-11","851","5","300.8017","6377304.063","15"
crs_1159,4250,6250,"Leigon","7012","Clarke 1880 (RGS)","-130","29","364","293.465","6378249.145","5"
crs_1160,4251,6251,"Liberia 1964","7012","Clarke 1880 (RGS)","-90","40","88","293.465","6378249.145","26"
crs_1161,4253,6253,"Luzon 1911","7008","Clarke 1866","-133","-77","-51","294.978698213898","6378206.4","17"
crs_1162,4253,6253,"Luzon 1911","7008","Clarke 1866","-133","-79","-72","294.978698213898","6378206.4","44"
crs_1163,4266,6266,"M'poraloko","7011","Clarke 1880 (IGN)","-74","-130","42","293.466021293627","6378249.2","44"
crs_1164,4256,6256,"Mahe 1971","7012","Clarke 1880 (RGS)","41","-220","-134","293.465","6378249.145","44"
crs_1165,4262,6262,"Massawa","7004","Bessel 1841","639","405","60","299.1528128","6377397.155","44"
crs_1166,4261,6261,"Merchich","7011","Clarke 1880 (IGN)","31","146","47","293.466021293627","6378249.2","7"
crs_1167,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-81","-84","115","293.465","6378249.145","44"
crs_1168,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-92","-93","122","293.465","6378249.145","15"
crs_1169,4265,6265,"Monte Mario","7022","International 1924","-225","-65","9","297","6378388","44"
crs_1170,4267,6267,"North American Datum 1927","7008","Clarke 1866","-3","142","183","294.978698213898","6378206.4","16"
crs_1171,4267,6267,"North American Datum 1927","7008","Clarke 1866","0","125","194","294.978698213898","6378206.4","10"
crs_1172,4267,6267,"North American Datum 1927","7008","Clarke 1866","-10","158","187","294.978698213898","6378206.4","20"
crs_1173,4267,6267,"North American Datum 1927","7008","Clarke 1866","-8","160","176","294.978698213898","6378206.4","10"
crs_1174,4267,6267,"North American Datum 1927","7008","Clarke 1866","-9","161","179","294.978698213898","6378206.4","11"
crs_1175,4267,6267,"North American Datum 1927","7008","Clarke 1866","-8","159","175","294.978698213898","6378206.4","7"
crs_1176,4267,6267,"North American Datum 1927","7008","Clarke 1866","-5","135","172","294.978698213898","6378206.4","12"
crs_1177,4267,6267,"North American Datum 1927","7008","Clarke 1866","-4","154","178","294.978698213898","6378206.4","8"
crs_1178,4267,6267,"North American Datum 1927","7008","Clarke 1866","1","140","165","294.978698213898","6378206.4","44"
crs_1179,4267,6267,"North American Datum 1927","7008","Clarke 1866","-7","162","188","294.978698213898","6378206.4","13"
crs_1180,4267,6267,"North American Datum 1927","7008","Clarke 1866","-9","157","184","294.978698213898","6378206.4","12"
crs_1181,4267,6267,"North American Datum 1927","7008","Clarke 1866","-22","160","190","294.978698213898","6378206.4","9"
crs_1182,4267,6267,"North American Datum 1927","7008","Clarke 1866","4","159","188","294.978698213898","6378206.4","8"
crs_1183,4267,6267,"North American Datum 1927","7008","Clarke 1866","-7","139","181","294.978698213898","6378206.4","10"
crs_1184,4267,6267,"North American Datum 1927","7008","Clarke 1866","0","125","201","294.978698213898","6378206.4","35"
crs_1185,4267,6267,"North American Datum 1927","7008","Clarke 1866","-9","152","178","294.978698213898","6378206.4","44"
crs_1186,4267,6267,"North American Datum 1927","7008","Clarke 1866","11","114","195","294.978698213898","6378206.4","44"
crs_1187,4267,6267,"North American Datum 1927","7008","Clarke 1866","-12","130","190","294.978698213898","6378206.4","12"
crs_1188,4269,6269,"North American Datum 1983","7019","GRS 1980","0","0","0","298.257222101","6378137","4"
crs_1189,4270,6270,"Nahrwan 1967","7012","Clarke 1880 (RGS)","-247","-148","369","293.465","6378249.145","44"
crs_1190,4270,6270,"Nahrwan 1967","7012","Clarke 1880 (RGS)","-243","-192","477","293.465","6378249.145","35"
crs_1191,4270,6270,"Nahrwan 1967","7012","Clarke 1880 (RGS)","-249","-156","381","293.465","6378249.145","44"
crs_1192,4271,6271,"Naparima 1972","7022","International 1924","-10","375","165","297","6378388","33"
crs_1193,4275,6275,"Nouvelle Triangulation Francaise","7011","Clarke 1880 (IGN)","-168","-60","320","293.466021293627","6378249.2","2"
crs_1195,4277,6277,"OSGB 1936","7001","Airy 1830","375","-111","431","299.3249646","6377563.396","21"
crs_1196,4277,6277,"OSGB 1936","7001","Airy 1830","371","-112","434","299.3249646","6377563.396","10"
crs_1197,4277,6277,"OSGB 1936","7001","Airy 1830","371","-111","434","299.3249646","6377563.396","21"
crs_1198,4277,6277,"OSGB 1936","7001","Airy 1830","384","-111","425","299.3249646","6377563.396","18"
crs_1199,4277,6277,"OSGB 1936","7001","Airy 1830","370","-108","434","299.3249646","6377563.396","35"
crs_1200,4282,6282,"Congo 1960 Pointe Noire","7011","Clarke 1880 (IGN)","-148","51","-291","293.466021293627","6378249.2","44"
crs_1201,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-288","175","-376","297","6378388","42"
crs_1202,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-270","188","-388","297","6378388","19"
crs_1203,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-270","183","-390","297","6378388","44"
crs_1204,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-305","243","-442","297","6378388","35"
crs_1205,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-282","169","-371","297","6378388","26"
crs_1206,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-278","171","-367","297","6378388","7"
crs_1207,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-298","159","-369","297","6378388","17"
crs_1208,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-279","175","-379","297","6378388","16"
crs_1209,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-295","173","-371","297","6378388","23"
crs_1210,4694,6694,"Posiciones Geodesicas Argentinas 1994","7030","WGS 84","0","0","0","298.257223563","6378137","1"
crs_1225,4292,6292,"Sapper Hill 1943","7022","International 1924","-355","21","72","297","6378388","2"
crs_1226,4293,6293,"Schwarzeck","7046","Bessel Namibia (GLM)","616","97","-251","299.1528128","6377397.155","35"
crs_1227,4297,6297,"Tananarive 1925","7022","International 1924","-189","-242","-91","297","6378388","999"
crs_1228,4298,6298,"Timbalai 1948","7016","Everest 1830 (1967 Definition)","-679","669","-48","300.8017","6377298.556","19"
crs_1230,4301,6301,"Tokyo","7004","Bessel 1841","-148","507","685","299.1528128","6377397.155","29"
crs_1231,4301,6301,"Tokyo","7004","Bessel 1841","-148","507","685","299.1528128","6377397.155","13"
crs_1232,4301,6301,"Tokyo","7004","Bessel 1841","-146","507","687","299.1528128","6377397.155","13"
crs_1233,4301,6301,"Tokyo","7004","Bessel 1841","-158","507","676","299.1528128","6377397.155","29"
crs_1234,4309,6309,"Yacare","7022","International 1924","-155","171","37","297","6378388","999"
crs_1235,4311,6311,"Zanderij","7022","International 1924","-265","120","-358","297","6378388","11"
crs_1242,4237,6237,"Hungarian Datum 1972","7036","GRS 1967","52.17","-71.82","-14.9","298.247167427","6378160","1"
crs_1245,4230,6230,"European Datum 1950","7022","International 1924","-112","-77","-145","297","6378388","44"
crs_1246,4255,6255,"Herat North","7022","International 1924","-333","-222","114","297","6378388","999"
crs_1247,4145,6145,"Kalianpur 1962","7044","Everest 1830 (1962 Definition)","283","682","231","300.8017255","6377301.243","999"
crs_1248,4238,6238,"Indonesian Datum 1974","7021","Indonesian National Spheroid","-24","-15","5","298.247","6378160","44"
crs_1249,4267,6267,"North American Datum 1927","7008","Clarke 1866","-2","152","149","294.978698213898","6378206.4","15"
crs_1250,4267,6267,"North American Datum 1927","7008","Clarke 1866","2","204","105","294.978698213898","6378206.4","18"
crs_1251,4269,6269,"North American Datum 1983","7019","GRS 1980","-2","0","4","298.257222101","6378137","8"
crs_1252,4269,6269,"North American Datum 1983","7019","GRS 1980","1","1","-1","298.257222101","6378137","4"
crs_1253,4307,6307,"Nord Sahara 1959","7012","Clarke 1880 (RGS)","-186","-93","310","293.465","6378249.145","44"
crs_1254,4284,6284,"Pulkovo 1942","7024","Krassowsky 1940","28","-130","-95","298.3","6378245","999"
crs_1255,4307,6307,"Nord Sahara 1959","7012","Clarke 1880 (RGS)","-123","-206","219","293.465","6378249.145","44"
crs_1256,4232,6232,"Fahud","7012","Clarke 1880 (RGS)","-346","-1","224","293.465","6378249.145","10"
crs_1271,4293,6293,"Schwarzeck","7046","Bessel Namibia (GLM)","615.64","102.08","-255.81","299.1528128","6377397.155","999"
crs_1272,4121,6121,"Greek Geodetic Reference System 1987","7019","GRS 1980","-199.87","74.79","246.62","298.257222101","6378137","1"
crs_1275,4230,6230,"European Datum 1950","7022","International 1924","-84","-97","-117","297","6378388","2"
crs_1283,4669,6126,"Lithuania 1994 (ETRS89)","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1284,4210,6210,"Arc 1960","7012","Clarke 1880 (RGS)","-157","-2","-299","293.465","6378249.145","6"
crs_1285,4210,6210,"Arc 1960","7012","Clarke 1880 (RGS)","-175","-23","-303","293.465","6378249.145","15"
crs_1290,4284,6284,"Pulkovo 1942","7024","Krassowsky 1940","24","-124","-82","298.3","6378245","4"
crs_1291,4284,6284,"Pulkovo 1942","7024","Krassowsky 1940","15","-130","-84","298.3","6378245","44"
crs_1294,4304,6304,"Voirol 1875","7011","Clarke 1880 (IGN)","-73","-247","227","293.466021293627","6378249.2","999"
crs_1296,4302,6302,"Trinidad 1903","7007","Clarke 1858","-61.702","284.488","472.052","294.260676369261","6378350.8704","2"
crs_1304,4240,6240,"Indian 1975","7015","Everest 1830 (1937 Adjustment)","210","814","289","300.8017","6377276.345","5"
crs_1305,4301,6301,"Tokyo","7004","Bessel 1841","-147","506","687","299.1528128","6377397.155","4"
crs_1307,4271,6271,"Naparima 1972","7022","International 1924","-2","374","172","297","6378388","26"
crs_1318,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-42.01","-332.21","-229.75","293.465","6378249.145","10"
crs_1319,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-40","-354","-224","293.465","6378249.145","25"
crs_1321,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-41.8","-342.2","-228.2","293.465","6378249.145","10"
crs_1322,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-55.5","-348","-229.2","293.465","6378249.145","3"
crs_1323,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-43","-337","-233","293.465","6378249.145","8"
crs_1324,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-48","-345","-231","293.465","6378249.145","3"
crs_1325,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-48.6","-345.1","-230.8","293.465","6378249.145","3"
crs_1327,4220,6220,"Camacupa","7012","Clarke 1880 (RGS)","-50.9","-347.6","-231","293.465","6378249.145","5"
crs_1330,4259,6259,"Malongo 1987","7022","International 1924","-252.95","-4.11","-96.38","297","6378388","10"
crs_1440,4230,6230,"European Datum 1950","7022","International 1924","-86","-92.2","-127.5","297","6378388","999"
crs_1441,4601,6601,"Antigua 1943","7012","Clarke 1880 (RGS)","-255","-15","71","293.465","6378249.145","10"
crs_1442,4602,6602,"Dominica 1945","7012","Clarke 1880 (RGS)","725","685","536","293.465","6378249.145","10"
crs_1443,4603,6603,"Grenada 1953","7012","Clarke 1880 (RGS)","72","213.7","93","293.465","6378249.145","10"
crs_1444,4604,6604,"Montserrat 1958","7012","Clarke 1880 (RGS)","174","359","365","293.465","6378249.145","44"
crs_1445,4605,6605,"St. Kitts 1955","7012","Clarke 1880 (RGS)","9","183","236","293.465","6378249.145","10"
crs_1446,4606,6606,"St. Lucia 1955","7012","Clarke 1880 (RGS)","-149","128","296","293.465","6378249.145","10"
crs_1469,4142,6142,"Locodjo 1965","7012","Clarke 1880 (RGS)","-125","53","467","293.465","6378249.145","15"
crs_1470,4143,6143,"Abidjan 1987","7012","Clarke 1880 (RGS)","-124.76","53","466.79","293.465","6378249.145","2"
crs_1505,4148,6148,"Hartebeesthoek94","7030","WGS 84","0","0","0","298.257223563","6378137","1"
crs_1511,4151,6151,"Swiss Terrestrial Reference Frame 1995","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1512,4153,6153,"Rassadiran","7022","International 1924","-133.63","-157.5","-158.62","297","6378388","0.5"
crs_1513,4132,6132,"Final Datum 1958","7012","Clarke 1880 (RGS)","-241.54","-163.64","396.06","293.465","6378249.145","0.5"
crs_1516,4247,6247,"La Canoa","7022","International 1924","-273.5","110.6","-357.9","297","6378388","2.5"
crs_1517,4315,6315,"Conakry 1905","7011","Clarke 1880 (IGN)","-23","259","-9","293.466021293627","6378249.2","30"
crs_1518,4155,6155,"Dabola 1981","7011","Clarke 1880 (IGN)","-83","37","124","293.466021293627","6378249.2","25"
crs_1527,4221,6221,"Campo Inchauspe","7022","International 1924","-154.5","150.7","100.4","297","6378388","0.5"
crs_1530,4267,6267,"North American Datum 1927","7008","Clarke 1866","-4.2","135.4","181.9","294.978698213898","6378206.4","3"
crs_1531,4270,6270,"Nahrwan 1967","7012","Clarke 1880 (RGS)","-245","-153.9","382.8","293.465","6378249.145","0.5"
crs_1532,4266,6266,"M'poraloko","7011","Clarke 1880 (IGN)","-80.7","-132.5","41.1","293.466021293627","6378249.2","0.5"
crs_1533,4144,6144,"Kalianpur 1937","7015","Everest 1830 (1937 Adjustment)","214","804","268","300.8017","6377276.345","5"
crs_1536,4270,6270,"Nahrwan 1967","7012","Clarke 1880 (RGS)","-250.2","-153.09","391.7","293.465","6378249.145","1"
crs_1537,4240,6240,"Indian 1975","7015","Everest 1830 (1937 Adjustment)","204.64","834.74","293.8","300.8017","6377276.345","1"
crs_1538,4223,6223,"Carthage","7011","Clarke 1880 (IGN)","-260.1","5.5","432.2","293.466021293627","6378249.2","1"
crs_1540,4163,6163,"Yemen National Geodetic Network 1996","7030","WGS 84","0","0","0","298.257223563","6378137","1"
crs_1542,4131,6131,"Indian 1960","7015","Everest 1830 (1937 Adjustment)","198","881","317","300.8017","6377276.345","44"
crs_1543,4131,6131,"Indian 1960","7015","Everest 1830 (1937 Adjustment)","182","915","344","300.8017","6377276.345","44"
crs_1544,4147,6147,"Hanoi 1972","7024","Krassowsky 1940","-17.51","-108.32","-62.39","298.3","6378245","5"
crs_1547,4165,6165,"Bissau","7022","International 1924","-173","253","27","297","6378388","25"
crs_1550,4208,6208,"Aratu","7022","International 1924","-139.62","290.53","-150.29","297","6378388","5"
crs_1551,4208,6208,"Aratu","7022","International 1924","-141.15","293.44","-150.56","297","6378388","5"
crs_1552,4208,6208,"Aratu","7022","International 1924","-142.48","296.03","-149.74","297","6378388","5"
crs_1555,4158,6158,"Naparima 1955","7022","International 1924","-0.465","372.095","171.736","297","6378388","1"
crs_1556,4158,6158,"Naparima 1955","7022","International 1924","-2","374","172","297","6378388","26"
crs_1557,4259,6259,"Malongo 1987","7022","International 1924","-254.1","-5.36","-100.29","297","6378388","5"
crs_1558,4166,6166,"Korean Datum 1995","7030","WGS 84","0","0","0","298.257223563","6378137","2"
crs_1561,4285,6285,"Qatar 1974","7022","International 1924","-128","-283","22","297","6378388","35"
crs_1562,4285,6285,"Qatar 1974","7022","International 1924","-128.16","-282.42","21.93","297","6378388","1"
crs_1563,4285,6285,"Qatar 1974","7022","International 1924","-128.033","-283.697","21.052","297","6378388","1"
crs_1565,4167,6167,"New Zealand Geodetic Datum 2000","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1569,4168,6168,"Accra","7029","War Office","-199","32","322","296","6378300","25"
crs_1577,4169,6169,"American Samoa 1962","7008","Clarke 1866","-115","118","426","294.978698213898","6378206.4","44"
crs_1580,4152,6152,"NAD83 (High Accuracy Reference Network)","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1581,4170,6170,"Sistema de Referencia Geocentrico para America del","7019","GRS 1980","0","0","0","298.257222101","6378137","2"
crs_1582,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-259.73","173.12","-398.27","297","6378388","3"
crs_1583,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-307.7","265.3","-363.5","297","6378388","0.5"
crs_1587,4227,6227,"Deir ez Zor","7011","Clarke 1880 (IGN)","-191.77","15.01","235.07","293.466021293627","6378249.2","1"
crs_1592,4298,6298,"Timbalai 1948","7016","Everest 1830 (1967 Definition)","-678","670","-48","300.8017","6377298.556","5"
crs_1597,4218,6218,"Bogota 1975","7022","International 1924","304.5","306.5","-318.1","297","6378388","0.2"
crs_1610,4313,6313,"Reseau National Belge 1972","7022","International 1924","-125.8","79.9","-100.5","297","6378388","5"
crs_1614,4175,6175,"Sierra Leone 1968","7012","Clarke 1880 (RGS)","-88","4","101","293.465","6378249.145","26"
crs_1615,4298,6298,"Timbalai 1948","7016","Everest 1830 (1967 Definition)","-726.282","703.611","-48.999","300.8017","6377298.556","100"
crs_1629,4230,6230,"European Datum 1950","7022","International 1924","-116.8","-106.4","-154.4","297","6378388","1"
crs_1649,4180,6180,"Estonia 1997","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1671,4171,6171,"Reseau Geodesique Francais 1993","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1676,4150,6150,"CH1903+","7004","Bessel 1841","674.374","15.056","405.346","299.1528128","6377397.155","1"
crs_1678,4173,6173,"IRENET95","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1682,4164,6164,"South Yemen","7024","Krassowsky 1940","-76","-138","67","298.3","6378245","5"
crs_1766,4149,6149,"CH1903","7004","Bessel 1841","674.374","15.056","405.346","299.1528128","6377397.155","1.5"
crs_1768,4189,6189,"Red Geodesica Venezolana","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1773,4190,6190,"Posiciones Geodesicas Argentinas 1998","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1796,4193,6193,"Manoca 1962","7011","Clarke 1880 (IGN)","-70.9","-151.8","-41.4","293.466021293627","6378249.2","0.5"
crs_1797,4194,6194,"Qornoq 1927","7022","International 1924","164","138","-189","297","6378388","48"
crs_1801,4282,6282,"Congo 1960 Pointe Noire","7011","Clarke 1880 (IGN)","-145","52.7","-291.6","293.466021293627","6378249.2","4"
crs_1811,4248,6248,"Provisional South American Datum 1956","7022","International 1924","-291.87","106.37","-364.52","297","6378388","10"
crs_1813,4211,6211,"Batavia","7004","Bessel 1841","-378.873","676.002","-46.255","299.1528128","6377397.155","5"
crs_1814,4211,6211,"Batavia","7004","Bessel 1841","-377.7","675.1","-52.2","299.1528128","6377397.155","5"
crs_1816,4307,6307,"Nord Sahara 1959","7012","Clarke 1880 (RGS)","-95.7","10.2","158.9","293.465","6378249.145","100"
crs_1817,4307,6307,"Nord Sahara 1959","7012","Clarke 1880 (RGS)","-165.914","-70.607","305.009","293.465","6378249.145","100"
crs_1820,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-93.2","-93.31","121.156","293.465","6378249.145","12"
crs_1821,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-88.98","-83.23","113.55","293.465","6378249.145","6"
crs_1822,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-92.726","-90.304","115.735","293.465","6378249.145","10"
crs_1823,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-93.134","-86.647","114.196","293.465","6378249.145","8"
crs_1824,4263,6263,"Minna","7012","Clarke 1880 (RGS)","-93","-94","124","293.465","6378249.145","25"
crs_1826,4612,6612,"Japanese Geodetic Datum 2000","7019","GRS 1980","0","0","0","298.257222101","6378137","1"
crs_1831,4237,6237,"Hungarian Datum 1972","7036","GRS 1967","57.01","-69.97","-9.29","298.247167427","6378160","1"
